경기(행사) 일시,구 분,경기(행사) 종류,경기(행사) 내용,주 최,관람인원,수입금(원),사용일수(일),year
2019-03-03,K리그,K리그1,2019 K리그1 서울vs포항,(주)GS스포츠,15100,46448200,1,2019
2019-03-16,K리그,K리그1,2019 K리그1 서울vs제주,(주)GS스포츠,17003,42233810,1,2019
2019-03-26,국가대표,국가대표 경기,축구국가대표팀 친선경기 대한민국vs콜롬비아,대한축구협회,64412,359759980,2,2019
2019-03-30,K리그,K리그1,2019 K리그1 서울vs상주,(주)GS스포츠,12862,39618720,1,2019
2019-04-06,K리그,K리그1,2019 K리그1 서울vs경남,(주)GS스포츠,13503,39677520,1,2019
2019-04-21,K리그,K리그1,2019 K리그1 서울vs인천,(주)GS스포츠,19314,47636620,1,2019
2019-05-11,K리그,K리그1,2019 K리그1 서울vs대구,(주)GS스포츠,26505,58091120,1,2019
2019-05-18,일반행사,콘서트,2019 드림콘서트,한국연예제작자협회,42563,88875350,7,2019
2019-05-28,K리그,K리그1,2019 K리그1 서울vs성남,(주)GS스포츠,13091,41764650,1,2019
2019-06-11,국가대표,국가대표 경기,축구국가대표팀 친선경기 대한민국vs이란,대한축구협회,35481,316281330,2,2019
2019-06-16,국가대표,거리응원,2019 FIFA U-20 월드컵 결승 거리응원전,"서울특별시, 대한축구협회",23000,316281330,2,2019
2019-06-16,K리그,K리그1,2019 K리그1 서울vs수원,(주)GS스포츠,35481,64878370,1,2019
2019-06-30,K리그,K리그1,2019 K리그1 서울vs울산,(주)GS스포츠,19992,50311719,1,2019
2019-07-06,K리그,K리그1,2019 K리그1 서울vs강원,(주)GS스포츠,17990,49143620,1,2019
2019-07-20,K리그,K리그1,2019 K리그1 서울vs전북,(주)GS스포츠,32008,69212790,1,2019
2019-07-26,일반행사,이벤트 경기,K리그 올스타vs유벤투스FC,"사)한국프로축구연맹, ㈜더페스타",62689,912828350,2,2019
2019-08-02,K리그,K리그1,2019 K리그1 서울vs대구,(주)GS스포츠,18578,48590770,1,2019
2019-08-11,K리그,K리그1,2019 K리그1 서울vs강원,(주)GS스포츠,15355,47218175,1,2019
2019-09-01,K리그,K리그1,2019 K리그1 서울vs전북,(주)GS스포츠,28024,62535658,1,2019
2019-09-15,K리그,K리그1,2019 K리그1 서울vs인천,(주)GS스포츠,15236,44995210,1,2019
2019-09-25,K리그,K리그1,2019 K리그1 서울vs경남,(주)GS스포츠,8429,39306280,1,2019
2019-09-29,K리그,K리그1,2019 K리그1 서울vs상주,(주)GS스포츠,13914,60876030,1,2019
2019-10-08,국가행사,전국체전,제100회 전국체육대회 4강 1차전,서울특별시,300,2769440,2,2019
2019-10-08,국가행사,전국체전,제100회 전국체육대회 4강 2차전,서울특별시,350,2769440,2,2019
2019-10-10,국가행사,전국체전,제100회 전국체육대회 결승,서울특별시,300,2769440,1,2019
2019-10-16,국가행사,장애인체전,제39회 장애인체전 8강전 1경기,서울특별시,100,354510,2,2019
2019-10-16,국가행사,장애인체전,제39회 장애인체전 8강전 2경기,서울특별시,100,354510,2,2019
2019-10-16,국가행사,장애인체전,제39회 장애인체전 8강전 3경기,서울특별시,100,354510,2,2019
2019-10-16,국가행사,장애인체전,제39회 장애인체전 8강전 4경기,서울특별시,100,354510,2,2019
2019-10-18,국가행사,장애인체전,제39회 장애인체전 4강전 1경기,서울특별시,200,354510,1,2019
2019-10-18,국가행사,장애인체전,제39회 장애인체전 4강전 2경기,서울특별시,200,354510,1,2019
2019-10-19,국가행사,장애인체전,제39회 장애인체전 결승,서울특별시,200,354510,1,2019
2019-11-03,K리그,K리그1,2019 K리그1 파이널 서울vs울산,(주)GS스포츠,19813,68202520,1,2019
2019-11-23,K리그,K리그1,2020 K리그1 파이널 서울vs포항,(주)GS스포츠,16783,46329880,1,2019
